,Job Title,Company,Location,Salary
1073,Full Stack Engineer,Wade & Wendy,"New York, NY","$121,000 - $173,000 a year (Indeed est.)"
1074,Software Test Engineer - Rail Automation,Siemens,"New York, NY 10017 (Midtown area)","$75,000 - $111,000 a year (Indeed est.)"
1076,Full Stack Engineer,Shindig,"New York, NY 10012 (Little Italy area)","$90,000 - $129,000 a year (Indeed est.)"
1078,Senior Software Engineer C++ Linux,Engage Transform,"New York, NY","$200,000 - $300,000 a year"
1083,Software Development Teacher (Part Time),Technology and Media School,"New York, NY",$33 - $47 an hour (Indeed est.)
1085,Software Developer,Brightfield Strategies,"New York, NY","$82,000 - $123,000 a year (Indeed est.)"
1086,Big Data Engineer,Data Axxis,"New York, NY","$200,000 - $250,000 a year"
1090,.NET Full Stack Software Engineer,RDM,"New York, NY","$80,000 - $100,000 a year"
1119,Helpdesk Engineer with Advancement Opportunities,Bit by Bit Inc,"New York, NY 10011 (Chelsea area)","$40,000 - $50,000 a year"
1120,Sr.Software Engineer,UsXpedite Technologies,"Princeton, NJ","$103,210 a year"
1200,Business Analyst,American Arbitration Association,"New York, NY","$62,500 - $82,500 a year"
1201,Junior Programmer,Controlled Combustion,"Bronx, NY","$35,000 - $45,000 a year"
1224,Applications Developer (full time plus benefits),ITnova,"Brooklyn, NY","$80,000 - $89,000 a year"
1287,Java Developer,Baanyan software services Inc,"Edison, NJ","$60,000 - $65,000 a year"
1330,"Software Engineer - C, Python, Linux",Quadlogic Control Corporation,"Long Island City, NY 11101","$60,000 - $90,000 a year"
1331,Sr. Software Engineer,Icon plc,"Farmingdale, NY","$122,408 a year"
1455,Software Engineer,Avenues International,"New York, NY","$99,000 - $148,000 a year (Indeed est.)"
1457,Full Stack Engineer,Disney Streaming Services,"New York, NY","$106,000 - $152,000 a year (Indeed est.)"
1458,Fullstack Game Engineer,Tilting Point,"New York, NY","$95,000 - $135,000 a year (Indeed est.)"
1460,C# Software Engineer,FIS Global,"Melville, NY","$78,000 - $109,000 a year (Indeed est.)"
1461,Senior Software Engineer,Slice,"New York, NY 10017 (Midtown area)","$99,000 - $133,000 a year (Indeed est.)"
1464,"Full Stack Software Engineer, Learning Systems",2U,"Brooklyn, NY","$100,000 - $143,000 a year (Indeed est.)"
1465,Software Engineer - Video Engineer - OTT,Integral Ad Science,"New York, NY 10003 (Greenwich Village area)","$92,000 - $138,000 a year (Indeed est.)"
1466,Full Stack Engineer,BioDigital,"New York, NY 10012 (Little Italy area)","$92,000 - $132,000 a year (Indeed est.)"
1472,Java Software Engineer,1stdibs.com,"New York, NY","$109,000 - $158,000 a year (Indeed est.)"
1473,Intern - Software Developer (Python/Django),Siemens,"Princeton, NJ 08540","$58,000 - $87,000 a year (Indeed est.)"
1475,"Software Engineer, Frontend - UI/UX",kraken,"New York, NY","$96,000 - $144,000 a year (Indeed est.)"
1476,Software Engineer - Java,CLEVER DEVICES LTD,"New York, NY","$85,000 - $128,000 a year (Indeed est.)"
