,Job_Title,Company,Location,Salary
113,System Design Engineer Intern,Marvell,"Santa Clara, CA",98000.0
114,University Graduate Hire - Software & QA Engineer (SS&S),NetApp,"Sunnyvale, CA 94089",130500.0
115,Fullstack Software Engineer (Flux) - Airspace Products,Uber,"San Francisco, CA 94107 (South Of Market area)",135000.0
116,Software Engineer - Test (Graduate),Aruba Networks,"Santa Clara, CA",113000.0
117,Software Engineer,ZL Technologies,"Milpitas, CA 95035",119500.0
118,Software Engineer - Ad Platform,Shipt,"San Francisco, CA",122500.0
119,Software Developer,CloudLanes,"Santa Clara, CA",114000.0
120,Full Stack Engineer,TigerGraph,"Redwood City, CA",128000.0
121,"Software Engineer, Blockchain (University)",Facebook,"Menlo Park, CA",111000.0
122,Staff Software Engineer,Pulse Secure,"San Jose, CA 95134 (North San Jose area)",137000.0
123,Software Quality Engineer,NOKIA,"Mountain View, CA",113000.0
124,Software Engineer I/II,Fujitsu,"Sunnyvale, CA 94085",104000.0
125,University Graduate Hire- Software & QA Engineer (CIBU),NetApp,"Sunnyvale, CA 94089",115500.0
126,"Intern: Full Stack, DCIM",Equinix,"Sunnyvale, CA",120500.0
127,Software Engineer,SiVal Instruments,"Silicon Valley, CA",101000.0
128,Systems Software Engineer I,ACCO Engineered Systems,"Pleasanton, CA 94588",97000.0
129,Software Engineer / Full Stack Engineer,Palo Alto Networks,"Santa Clara, CA",137500.0
130,"Systems Software Automation Engineer, Software Infotainment",Tesla,"Palo Alto, CA",113000.0
131,Staff Software Engineer (REF15169A) - Visa Digital Developer...,Visa,"Foster City, CA",111000.0
132,Java developer (back end),Platinus Technologies,"San Francisco Bay Area, CA",62500.0
135,Software Engineer,Bio-Techne,"San Jose, CA 95134 (North San Jose area)",121500.0
136,Staff Software Engineer,ServiceNow,"Santa Clara, CA 95054",129000.0
137,Software Engineer (Graduate Degree),Paypal,"San Jose, CA 95131 (North Valley area)",112500.0
138,Java Software Engineer,Paypal,"San Jose, CA 95131 (North Valley area)",107000.0
139,"Software Developer - Node, Go, microservices",Cellpoint Systems,"Fremont, CA",195000.0
140,Software Engineer (45 openings),Flexport,"San Francisco, CA",134000.0
141,Software Engineer,EverestLabs.AI,"Fremont, CA",105000.0
142,"Software Engineer, Graphics",Google,"Sunnyvale, CA",120000.0
143,Software Engineer - Internal Tools,Shipt,"San Francisco, CA",141500.0
144,DOCSIS Software Engineer - Fixed Networks,NOKIA,"Sunnyvale, CA",125000.0
145,Staff Software Development Engineer,ServiceNow,"Santa Clara, CA 95054",123500.0
146,Software Engineer- Web/Mobile Developer,Cisco Careers,"San Jose, CA",106000.0
147,Software Developer,WinWire,"Santa Clara, CA 95054",95000.0
